Name,x-coord,y-coord
Station_001,2700705,1220871
Station_002,2699562,1262853
Station_003,2699950,1260879
Station_004,2707804,1231563
Station_005,2701593,1242751
Station_006,2680215,1250578
Station_007,2658307,1216619
Station_008,2679555,1248357
Station_009,2656510,1233457
Station_010,2669261,1253711
Station_011,2663327,1259432
Station_012,2681974,1226651
Station_013,2681679,1252007
Station_014,2665788,1210979
Station_015,2699321,1261301
Station_016,2683310,1243284
Station_017,2681630,1269147
Station_018,2672311,1252113
Station_019,2677148,1250198
Station_020,2673470,1250363
Station_021,2672685,1249488
Station_022,2676356,1250621
Station_023,2675471,1255382
Station_024,2689568,1250568
Station_025,2683586,1238093
Station_026,2661346,1268251
Station_027,2668178,1256902
Station_028,2650893,1225342
Station_029,2654348,1257955
Station_030,2696007,1261320
Station_031,2684826,1254067
Station_032,2650994,1248665
Station_033,2667061,1245355
Station_034,2681837,1257270
Station_035,2693932,1270090
Station_036,2684620,1245205
Station_037,2670675,1252361
Station_038,2663327,1214940
Station_039,2687797,1251468
Station_040,2688221,1250919
Station_041,2685040,1246946
Station_042,2691119,1236142
Station_043,2678127,1254589
Station_044,2683200,1263007
Station_045,2685093,1255903
Station_046,2704062,1242726
Station_047,2700566,1240282
Station_048,2706360,1234554
Station_049,2704942,1236967
Station_050,2677274,1255536
Station_051,2712811,1263754
Station_052,2712820,1263722
Station_053,2712300,1233200
Station_054,2664681,1212060
Station_055,2668335,1236289
Station_056,2664375,1271085
Station_057,2665731,1211544
Station_058,2663140,1217326
Station_059,2660185,1218326
Station_060,2690930,1233590
Station_061,2676798,1216978
Station_062,2665982,1214956
Station_063,2679813,1248597
Station_064,2705800,1239634
Station_065,2702166,1242045
Station_066,2679711,1248264
Station_067,2680909,1248381
Station_068,2674884,1246522
Station_069,2655890,1249846
Station_070,2655877,1250043
Station_071,2659609,1273076
Station_072,2664279,1255788
Station_073,2711359,1226061
Station_074,2694015,1228055
Station_075,2674980,1268026
Station_076,2704062,1242726
Station_077,2660757,1257100
Station_078,2705688,1255415
Station_079,2697000,1240973
Station_080,2662529,1230269
Station_081,2703635,1213152
Station_082,2670209,1253108
Station_083,2657146,1231843
Station_084,2665411,1270424
Station_085,2708026,1235655
Station_086,2681459,1252043
Station_087,2709127,1268868
Station_088,2683124,1263805
Station_089,2662834,1244676
Station_090,2686439,1251243
Station_091,2701282,1232621
Station_092,2650144,1224958
Station_093,2658588,1271440
Station_094,2681737,1247474
Station_095,2676378,1259938
Station_096,2672266,1211947
Station_097,2683933,1251537
Station_098,2693293,1248498
Station_099,2663845,1213838
Station_100,2689144,1243546
Station_101,2695428,1260104
Station_102,2683288,1262888
Station_103,2683657,1248318
Station_104,2678258,1249596
Station_105,2673431,1251134
Station_106,2668512,1254550
Station_107,2663666,1256560
Station_108,2683614,1252557
Station_109,2704491,1232423
Station_110,2696699,1225201
Station_111,2682123,1240183
Station_112,2699997,1229131
Station_113,2688897,1252006
Station_114,2665571,1253259
Station_115,2681995,1243933
Station_116,2676770,1237499
Station_117,2676769,1251714
Station_118,2693526,1263525
Station_119,2665787,1210962
Station_120,2663118,1243468
Station_121,2658165,1258053
Station_122,2702374,1228673
Station_123,2710033,1261298
Station_124,2663113,1253377
Station_125,2672861,1251018
Station_126,2710400,1268971
Station_127,2682506,1243522
Station_128,2692617,1230581
Station_129,2700427,1228974
Station_130,2697796,1222763
Station_131,2689162,1252235
Station_132,2710551,1269106
Station_133,2696538,1263868
Station_134,2710570,1269549
Station_135,2685322,1246346
Station_136,2686050,1255664
Station_137,2679236,1226262
Station_138,2678204,1249684
Station_139,2654147,1259079
Station_140,2692982,1231285
Station_141,2675617,1249987
Station_142,2689435,1250179
Station_143,2694212,1253930
Station_144,2692509,1232604
Station_145,2699516,1228003
Station_146,2678071,1254637
Station_147,2686287,1241293
Station_148,2696561,1227925
Station_149,2684546,1253742
Station_150,2691875,1235672
Station_151,2688069,1250392
Station_152,2681677,1243859
Station_153,2699199,1260441
Station_154,2680445,1258873
Station_155,2706415,1231918
Station_156,2679468,1249379
Station_157,2686283,1241199
Station_158,2679909,1246953
Station_159,2676198,1236474
Station_160,2684910,1252312
Station_161,2706877,1249811
Station_162,2689033,1231975
Station_163,2680976,1247080
Station_164,2656418,1249054
Station_165,2695866,1261196
Station_166,2666825,1257705
Station_167,2687316,1251552
Station_168,2688129,1250072
Station_169,2681058,1270564
Station_170,2683694,1253376
Station_171,2680290,1252793
Station_172,2659897,1246886
Station_173,2657099,1269826
Station_174,2658993,1250780
Station_175,2682056,1247293
Station_176,2706074,1252744
Station_177,2677454,1255274
Station_178,2665788,1210979
Station_179,2678335,1226268
Station_180,2664742,1214014
Station_181,2664304,1257673
Station_182,2666381,1238943
Station_183,2676665,1237924
Station_184,2664554,1224197
Station_185,2697019,1245370
Station_186,2711482,1236916
Station_187,2691024,1242301
Station_188,2672708,1226474
Station_189,2674318,1268492
Station_190,2692872,1248746
Station_191,2676668,1245893
Station_192,2708388,1267800
Station_193,2654919,1253467
Station_194,2665788,1210979
Station_195,2665787,1210962
Station_196,2676694,1251761
Station_197,2658909,1260408
Station_198,2665787,1210962
Station_199,2703815,1243276
Station_200,2681553,1242542
Station_201,2682774,1244739
Station_202,2664371,1212476
Station_203,2660780,1264087
Station_204,2664547,1259874
Station_205,2688837,1232522
Station_206,2681968,1226572
Station_207,2668467,1235984
Station_208,2685969,1230056
Station_209,2661596,1244997
Station_210,2665788,1210979
Station_211,2666900,1220500
Station_212,2652267,1248627
Station_213,2693833,1248516
Station_214,2679993,1246909
Station_215,2699659,1261651
Station_216,2695307,1256103
Station_217,2676849,1217322
Station_218,2675486,1222345
Station_219,2693497,1263590
Station_220,2684341,1252708
Station_221,2665788,1210979
Station_222,2665788,1210979
Station_223,2683198,1212353
Station_224,2699963,1254610
Station_225,2689481,1252727
Station_226,2678557,1226708
Station_227,2685885,1238156
Station_228,2694078,1218353
Station_229,2687055,1263596
Station_230,2669143,1215507
Station_231,2678014,1253710
Station_232,2677458,1259710
Station_233,2699190,1221750
Station_234,2682528,1248888
Station_235,2694440,1228797
Station_236,2687364,1256159
Station_237,2679923,1250411
Station_238,2663940,1268730
Station_239,2680026,1249031
Station_240,2660481,1259505
Station_241,2673199,1249600
Station_242,2663411,1244669
Station_243,2678681,1227157
Station_244,2666587,1213360
Station_245,2665788,1210979
Station_246,2679817,1248738
Station_247,2665788,1210979
Station_248,2693658,1249401
Station_249,2665788,1210979
Station_250,2665788,1210979
Station_251,2681553,1269418
Station_252,2682303,1247530
Station_253,2668954,1244241
Station_254,2699248,1249355
Station_255,2683873,1251061
