stationId,linkId,numberOfQueues,rechargeRate,min Distance,x-coord,y-coord
Station_166,519203,1,38.4,0.546022111,2666825,1257705
Station_030,270017,1,38.4,5.028854496,2696007,1261320
Station_114,763768,1,38.4,2.297464736,2665571,1253259
Station_004,7756,1,38.4,0.007560702,2707804,1231563
Station_224,744602,1,38.4,0.778994035,2699963,1254610
Station_118,386830,1,38.4,1.069364821,2693526,1263525
Station_254,952314,1,38.4,3.297477376,2699248,1249355
Station_046,509438,1,38.4,0.955744091,2704062,1242726
Station_088,632346,1,38.4,0.183699693,2683124,1263805
Station_089,143132,1,38.4,0.768404393,2662834,1244676
Station_080,486735,1,38.4,1.260203184,2662529,1230269
Station_185,644388,1,38.4,1.486865377,2697019,1245370
Station_206,661612,1,38.4,7.259748612,2681968,1226572
Station_199,351152,1,38.4,1.670921149,2703815,1243276
Station_154,572134,1,38.4,0.059766818,2680445,1258873
Station_229,398352,1,38.4,4.236905075,2687055,1263596
Station_095,492243,1,38.4,2.375828547,2676378,1259938
Station_120,487723,1,38.4,6.887943583,2663118,1243468
Station_218,418636,1,38.4,1.934446148,2675486,1222345
Station_065,463229,1,38.4,0.635555234,2702166,1242045
Station_140,806895,1,38.4,7.275112453,2692982,1231285
Station_027,773823,1,38.4,0.469831646,2668178,1256902
Station_128,53304,1,38.4,2.443079744,2692617,1230581
Station_129,206877,1,38.4,4.583370833,2700427,1228974
Station_191,314070,1,38.4,49.48919671,2676668,1245893
Station_243,300961,1,38.4,0.00017,2678681,1227157
Station_034,558751,1,38.4,1.146093434,2681837,1257270
Station_044,885214,1,38.4,0.954252315,2683200,1263007
Station_047,871957,1,38.4,2.519352643,2700566,1240282
Station_079,373499,1,38.4,2.683325607,2697000,1240973
Station_112,206486,1,38.4,0.84708337,2699997,1229131
Station_143,717350,1,38.4,3.881353057,2694212,1253930
Station_145,53299,1,38.4,3.117706077,2699516,1228003
Station_150,268877,1,38.4,13.16436351,2691875,1235672
Station_232,116181,1,38.4,1.837156309,2677458,1259710
Station_234,7777,1,38.4,7.27413854,2682528,1248888
Station_005,402715,1,38.4,2.554568017,2701593,1242751
Station_018,931364,1,38.4,0.198620072,2672311,1252113
Station_023,513630,1,38.4,2.674200917,2675471,1255382
Station_033,397498,1,38.4,1.252478015,2667061,1245355
Station_082,404686,1,38.4,4.18302542,2670209,1253108
Station_101,843612,1,38.4,2.064828446,2695428,1260104
Station_125,235348,1,38.4,33.4203486,2672861,1251018
Station_179,477221,1,38.4,8.967696182,2678335,1226268
Station_242,448354,1,38.4,5.113196369,2663411,1244669
Station_253,206980,1,38.4,1.035148145,2668954,1244241
Station_108,474499,1,38.4,2.2990745,2683614,1252557
Station_136,879727,1,38.4,0.163702209,2686050,1255664
Station_168,502276,1,38.4,4.054465091,2688129,1250072
Station_227,239491,1,38.4,0.213615396,2685885,1238156
